Age,Customer ID,Date Joined,Dummy,Gender,Job Classification,Name,Region,Surname,Balance,Number of Records
21,100000001,05.Jan.15,dummy,Male,White Collar,Simon,England,Walsh,113810.15,1
34,400000002,06.Jan.15,dummy,Female,Blue Collar,Jasmine,Northern Ireland,Miller,36919.73,1
46,100000003,07.Jan.15,dummy,Male,White Collar,Liam,England,Brown,101536.83,1
32,300000004,08.Jan.15,dummy,Male,White Collar,Trevor,Wales,Parr,1421.52,1
38,100000005,09.Jan.15,dummy,Female,Blue Collar,Deirdre,England,Pullman,35639.79,1
30,300000006,09.Jan.15,dummy,Female,Blue Collar,Ava,Wales,Coleman,122443.77,1
34,100000007,11.Jan.15,dummy,Female,Blue Collar,Dorothy,England,Thomson,42879.84,1
48,200000008,11.Jan.15,dummy,Female,Other,Lisa,Scotland,Knox,36680.17,1
33,300000009,11.Jan.15,dummy,Female,White Collar,Ruth,Wales,Campbell,74284.35,1
42,100000010,12.Jan.15,dummy,Male,White Collar,Dominic,England,Parr,10912.45,1
40,100000011,12.Jan.15,dummy,Male,White Collar,Dominic,England,Lewis,39667.83,1
39,100000012,12.Jan.15,dummy,Male,White Collar,Benjamin,England,Grant,32281.62,1
24,100000013,12.Jan.15,dummy,Male,White Collar,Ryan,England,MacDonald,40781.63,1
46,200000014,12.Jan.15,dummy,Male,Other,Thomas,Scotland,Lawrence,48791.46,1
36,300000015,12.Jan.15,dummy,Female,Other,Madeleine,Wales,Marshall,2846.03,1
42,100000016,14.Jan.15,dummy,Male,White Collar,Nicholas,England,Newman,2116.85,1
31,200000017,14.Jan.15,dummy,Female,Other,Grace,Scotland,Hill,10356.31,1
42,200000018,14.Jan.15,dummy,Female,Other,Samantha,Scotland,Coleman,3801.69,1
40,100000019,15.Jan.15,dummy,Male,Blue Collar,William,England,Ince,65534.69,1
46,100000020,15.Jan.15,dummy,Female,Blue Collar,Audrey,England,Jones,11462.64,1
37,300000021,16.Jan.15,dummy,Male,Other,Boris,Wales,Johnston,31778.9,1
58,200000022,18.Jan.15,dummy,Male,Blue Collar,Jason,Scotland,Butler,21252.97,1
41,300000023,18.Jan.15,dummy,Female,White Collar,Deirdre,Wales,McDonald,66785.78,1
52,200000024,19.Jan.15,dummy,Male,Blue Collar,Carl,Scotland,Quinn,6580.81,1
38,100000025,20.Jan.15,dummy,Female,White Collar,Jennifer,England,Hughes,20505.32,1
55,200000026,21.Jan.15,dummy,Male,Blue Collar,Richard,Scotland,Fraser,43249.26,1
37,400000027,23.Jan.15,dummy,Female,White Collar,Rachel,Northern Ireland,McGrath,3967.2,1
33,100000028,25.Jan.15,dummy,Female,White Collar,Alison,England,Fisher,3428.56,1
50,200000029,25.Jan.15,dummy,Male,Blue Collar,Lucas,Scotland,Mackenzie,20516.1,1
42,100000030,27.Jan.15,dummy,Male,White Collar,Luke,England,Wilkins,10813.83,1
25,100000031,28.Jan.15,dummy,Female,White Collar,Megan,England,Bell,38889.76,1
30,300000032,28.Jan.15,dummy,Male,White Collar,Warren,Wales,Edmunds,14094.01,1
58,200000033,29.Jan.15,dummy,Female,Other,Grace,Scotland,Chapman,25865.2,1
26,100000034,30.Jan.15,dummy,Male,Other,Jake,England,Wilson,5833.62,1
34,100000035,31.Jan.15,dummy,Female,Blue Collar,Karen,England,Dyer,77809.59,1
36,100000036,31.Jan.15,dummy,Female,White Collar,Yvonne,England,Thomson,31680.67,1
33,100000037,31.Jan.15,dummy,Female,White Collar,Sophie,England,Gill,20504.37,1
31,100000038,31.Jan.15,dummy,Male,Other,Robert,England,Cornish,5688.36,1
35,200000039,31.Jan.15,dummy,Male,Blue Collar,Luke,Scotland,Martin,12848.59,1
59,200000040,31.Jan.15,dummy,Male,Other,Gavin,Scotland,Pullman,114456.23,1
27,100000041,01.Feb.15,dummy,Male,Blue Collar,Edward,England,Terry,51412.6,1
35,100000042,01.Feb.15,dummy,Female,White Collar,Diane,England,Black,9695.7,1
49,200000043,01.Feb.15,dummy,Male,Blue Collar,Jake,Scotland,Morgan,114021.21,1
22,400000044,01.Feb.15,dummy,Female,Other,Yvonne,Northern Ireland,Churchill,107728.07,1
53,100000045,03.Feb.15,dummy,Female,Other,Dorothy,England,Johnston,2893.19,1
47,200000046,03.Feb.15,dummy,Female,Other,Lisa,Scotland,Berry,54589.61,1
32,200000047,03.Feb.15,dummy,Female,Other,Leah,Scotland,Nolan,59501.63,1
19,400000048,08.Feb.15,dummy,Female,Other,Carolyn,Northern Ireland,Lewis,14337.82,1
27,100000049,12.Feb.15,dummy,Male,White Collar,Simon,England,Ball,23921.89,1
39,100000050,12.Feb.15,dummy,Male,White Collar,Charles,England,Nolan,39034.14,1
29,100000051,12.Feb.15,dummy,Female,Blue Collar,Sophie,England,Wilkins,1401.43,1
31,100000052,12.Feb.15,dummy,Female,Blue Collar,Kimberly,England,James,41626.25,1
37,100000053,12.Feb.15,dummy,Female,Other,Madeleine,England,Ellison,47551.7,1
32,100000054,12.Feb.15,dummy,Female,White Collar,Irene,England,MacLeod,24187.98,1
24,100000055,12.Feb.15,dummy,Male,White Collar,Cameron,England,Taylor,4912.21,1
40,100000056,12.Feb.15,dummy,Male,White Collar,Liam,England,Gibson,58391.45,1
33,100000057,12.Feb.15,dummy,Female,Blue Collar,Donna,England,Knox,58033.89,1
44,100000058,12.Feb.15,dummy,Male,White Collar,Piers,England,Morgan,35831.2,1
39,100000059,12.Feb.15,dummy,Male,Other,Phil,England,Randall,1879.85,1
47,100000060,12.Feb.15,dummy,Male,White Collar,Ryan,England,White,23375.57,1
35,100000061,12.Feb.15,dummy,Female,White Collar,Kylie,England,Howard,4586.23,1
47,100000062,12.Feb.15,dummy,Female,Other,Fiona,England,Bell,20336.8,1
47,100000063,12.Feb.15,dummy,Male,White Collar,Kevin,England,Gibson,22414.93,1
39,100000064,12.Feb.15,dummy,Female,White Collar,Bernadette,England,Gibson,40305.24,1
50,200000065,12.Feb.15,dummy,Female,Other,Maria,Scotland,Hughes,18091.36,1
43,200000066,12.Feb.15,dummy,Male,Blue Collar,Piers,Scotland,Burgess,20076.8,1
47,200000067,12.Feb.15,dummy,Male,Blue Collar,Dan,Scotland,Ellison,5300.47,1
61,200000068,12.Feb.15,dummy,Male,Blue Collar,Lucas,Scotland,Piper,7162.43,1
53,200000069,12.Feb.15,dummy,Male,Blue Collar,Jason,Scotland,Sharp,35751.37,1
45,200000070,12.Feb.15,dummy,Male,Other,Kevin,Scotland,Parr,15013.76,1
49,200000071,12.Feb.15,dummy,Male,Blue Collar,Dan,Scotland,Mills,70041.44,1
51,200000072,12.Feb.15,dummy,Female,Other,Angela,Scotland,Roberts,35937.38,1
36,300000073,12.Feb.15,dummy,Female,White Collar,Hannah,Wales,White,41442.1,1
45,300000074,12.Feb.15,dummy,Male,Other,Oliver,Wales,Simpson,36696.92,1
30,400000075,12.Feb.15,dummy,Female,White Collar,Olivia,Northern Ireland,Dowd,21.03,1
44,200000076,24.Feb.15,dummy,Male,Blue Collar,Michael,Scotland,Hemmings,58237.65,1
38,100000077,09.Mar.15,dummy,Male,White Collar,Frank,England,Brown,28509.46,1
36,100000078,10.Mar.15,dummy,Female,Other,Diane,England,Simpson,38715.45,1
23,300000079,15.Mar.15,dummy,Female,Blue Collar,Ruth,Wales,Mathis,7370.52,1
34,100000080,16.Mar.15,dummy,Male,White Collar,David,England,Peters,245.46,1
36,100000081,16.Mar.15,dummy,Female,White Collar,Joan,England,Buckland,59935.75,1
20,100000082,16.Mar.15,dummy,Male,White Collar,Neil,England,Robertson,11624.36,1
31,100000083,16.Mar.15,dummy,Male,Blue Collar,Paul,England,Mackay,9346.66,1
42,100000084,16.Mar.15,dummy,Male,White Collar,Dylan,England,Fraser,43770.37,1
38,100000085,16.Mar.15,dummy,Female,White Collar,Pippa,England,Buckland,63642.19,1
39,100000086,16.Mar.15,dummy,Male,White Collar,Matt,England,McGrath,22831.08,1
41,100000087,16.Mar.15,dummy,Male,Other,Jack,England,White,4846.57,1
24,100000088,16.Mar.15,dummy,Female,White Collar,Jasmine,England,Piper,71571.52,1
24,100000089,16.Mar.15,dummy,Female,White Collar,Michelle,England,Ellison,42409.89,1
35,100000090,16.Mar.15,dummy,Female,White Collar,Wanda,England,Henderson,4194.57,1
35,100000091,16.Mar.15,dummy,Male,White Collar,Blake,England,Reid,75613.68,1
26,100000092,16.Mar.15,dummy,Female,White Collar,Jane,England,Forsyth,28587.08,1
23,100000093,16.Mar.15,dummy,Male,White Collar,Dan,England,Peake,14699.05,1
38,100000094,16.Mar.15,dummy,Female,Other,Lisa,England,Davies,44034.26,1
